address,stutia,stuatom,stuosmo
stride103l0dpxwxzv4wmnaaeqa7x7ysed2l2j9h4ql6f,0,269487,0
stride103n2fyjdal748esfkxft6aepecdmzp0r6z8cpe,0,0,137501
stride103nkz0hgnpwmjveafmr57xwmvlluuj4ssyqna3,0,186342,0
stride103pwe72auzl3lz4gv0yk742maxz0wyn0px9sey,10109998,0,0
stride103q8qurph4mylv3znzcmpl396a06cplfqg9j32,2679999,0,0
stride103qcuqnx00xvv64me4jwa8jpwzn4qtmqdwplqn,5110000,0,0
stride103v3wy2qccy47jxvnsnxvj3r2lhxcfavcyul8r,0,200670,0
stride103vr2qzrkej6xwthgt2wl3p8c58q6lggd8jxqy,0,0,218855
stride103x48ru93zwg4lt5k2sehghx37pum48rllad4f,0,2730609,36223847
stride103y9ag2zqza6qhhl89qdy7g3kehm578v6nelec,0,7380000,0
stride103yxfyedzeuae9zrzmfrtjlhag9jc2shs3yt9p,0,3080129,0
stride1040l5s9hh0lh46yuamlw47h46k5pcxptvyv9fa,0,733851,0
stride10425flc7vh9pvzjcjkhs938j74llgv40lyvqzt,5999999,0,0
stride1042nl6f0ehlt6eldmaak8a80amllruzxt5vfm7,0,5021307,17163279
stride10447kdx9rq75qtwccukfg9sdt70yry9amun7t6,18345480,1373687,0
stride1045ngdhxsgefrr6h6ygsks4dcx7z5ut7xpvttd,3979999,0,0
stride1047mmap9lrrw349q3c3actxw8qj8md56ha8uye,0,37504144,0
stride10497yvmd23sv6n39mzqjpkf8cwhgvqyt0kx8y5,0,1251588,0
stride1049824wp447ggjm8qq9xrh92aqdjxjxm4ak54m,10479999,0,0
stride1049ye8lese3s2a6rr2quh3des6pynmqpxwzj53,0,523821,359127
stride104a05rd99gr37uxq86nwduk44e86vpwfr6tuvq,0,0,219183
stride104a4pj64l6grr65ppp7el72kjtyjuuh9tzk75y,5000000,130831,354868
stride104c9705qhahdvs3qumhlmk2esf6jgh8qwqmnk6,1979999,0,0
stride104cycmcez05tax6xeseg5gsec07n27cnzs5n09,0,255711,534101
stride104fq56d9attl4m709h7mgx9lwqklnh0588f072,9379999,0,0
stride104g2v283rgmm9ykh0wdtynm0p8jpcmy39zxmfh,7564584,0,0
stride104g8u70dj0hdt7dvejhum5rhk55kgmc5fmdg8t,0,154838,651683
stride104gccc762vst58vl9gv5vsk0g3xz9vu60tdvf9,0,155931,0
stride104kdmj4fla63rk9ds3ed5nex7x440863xfggea,1122620,0,0
stride104lf7ha8eq8rrz87gn0rk3t35dc7eph2nesxtk,0,1228854,0
stride104mfesqnaqdhrgat3w37rfphluep5dvwym5ars,0,17361578,735493
stride104mh7qdutwx2zaf83mynjm8kklpj62cwwvl9pr,0,1583816,0
stride104mym7la7kar069m4mpullxkmwctxexndr975z,100999998,0,0
stride104nr0dhjm75j4vdfskgk3uan8ek8zf84tc2488,1401381069,0,0
stride104ppq0r3jdrvx26dchjzsz2kmlehaedcad0p7s,0,11803301,36414693
stride104ptlr75z58apcy9fhxnzhya8nk0smw8kpmrz7,0,494034,143594
stride104slhdw4a5w7q4cd7p6kq9lpej87dru5rpteu3,0,1817355,0
stride104szw0qtg6kk0nqu4930nwazdhuz3q629xxwkn,900479999,0,0
stride104td9u43ln6ka7ky82f37l7c8q05trdrvhrxdt,38898239,0,0
stride104tx64evn5j38qzjesn46834fe7gdp6j6nqyyh,0,0,338549
stride104u0yardhndp2980439xnetgcswm890f30tml9,9110490,0,0
stride104v93spxpepuxcjlsp7f6tk0cxxpqcsrqa4whp,0,111295,0
stride104wu52tdzu3268qvcg0eg5gs3uvzksu2g60h2x,3218469,0,0
stride104xpnszxggxwar0uykry69dq2zr4s0v57m4yj0,0,257497,0
stride104xuzvkx2gvk8r0asvah0uxy6r33hjlv2xx3wd,10685148,0,0
stride1050yh6cl840z3ghjkvcaclxscvuqaf200q0t5g,1980000,0,0
stride1053up8d5fllxjg4zeeew2twxk9vj08fz63qk7d,0,0,11229252
stride1054rqa40ke78m4tnsq5qydzza7yqt2evlwnv7h,0,211184,0
stride1054u2kzna4tuslum9r8xw93c6k4sjwtvh87jew,0,178702,0
stride1054xj3cnnvdu7sgmzl80zapvwvzaq2qxcclac7,0,138613,281302
stride1056vn8eurltajhvdj0mmsacmctjnukdfpxusgu,730799,299836,0
stride1057536l3u3vdymva6jtvw0q987kvd4ceag8pcy,0,1103014,155826
stride1057md20daf9q39a4d5etstxd6g5ux7m76arg5n,2299999,0,0
stride10592ce4gym28fhsrpqyt3mgv3vpk4njeyjlepd,0,0,339017
stride1059vss4rq2sqag52q47pszgdagdpasktl7475k,0,273534,712765
stride1059xjrmv0e5g57t58pgfpyr9c3wdtjv6csjrrw,0,156558,0
stride105a37a29p75ez2pl8jehehsu9xhc8g0zl4cmt3,99979999,0,0
stride105c0dl6f2wnzln3vmtgrcxzxtt37rawhf7wptu,12959999,0,0
stride105ccpl3pkkpqx3zmheerp52k8tahs9klq6vlxj,0,345049,780136
stride105cvpyrsdppqyazrqcmdt3nxf3kjvrwfjdkd3x,7979999,0,0
stride105emrlz4kpxt7mpgz207vu27ajghsxa7naua82,0,0,890888
stride105flv8af32c903v2leszsvx890445y5vmwdrpv,0,279834,0
stride105h3tnsxeajlp7j9jrw6k629326de6vlgn9xkv,0,914095406,0
stride105h54cc69axseakx0kuxecwyknwjtugv2spgvd,0,176840,495495
stride105krdqqtm5v24xs2nx6thehpf8z0dhjr0enxzs,0,378503,958615
stride105lcm7vqvl60ncwy3jf337qdxjl4kjfrt3eau5,0,118945,0
stride105qeucljvgkgf4vqc0nsksaflg3y7n3dykr0j3,0,1707966,4393199
stride105qldx7pdchtvgydgcqx856ca7j7fc4e3njcq7,0,0,335062040
stride105rf9sxvzqrf8sce5rktffgd2t960uy0g3a2qr,0,0,522845
stride105rfyahwj8wu2hwz84l7tlpz2ujxul33hzdcv8,0,160920,997038
stride105x4vjqqr5nslysfppsewjzt0w5ef62dc72ym8,0,156031,111016
stride105xeujt6tme3q7u8gtfrzxpclh7t95eramuza9,0,0,212113
stride105ytzzer2c6h63tfy9cu8x6sajclzzaxuepayl,0,830964,0
stride105zvj35wttwhnhalw4jgyfndr0k8hzsrc7mv66,0,124231,525159
stride1060t4vlql9ngh4jj4h67nsyu4lmljyd82frgk7,26607776,128620,0
stride1064re0yzrscrrys2ytsyuc0rnyh8u57syu8s2s,0,1546000,0
stride1065tjc20cn9qhgzzkzmqs5gtfl3tyhlla5zhvc,0,7695019,0
stride1067nqhdepr2aqfqwv83c20fr95dwt2xyrffqs7,1979999,0,0
stride1069uf46yqdky08w2p8de9qks2vq2rt33hqyxf0,2999999,0,0
stride106cx9sv4x366dd80tmyptqgk6yvvr2smz9c5ta,0,0,8399491
stride106d8qfne4qzhtrd3lrul68aszq0w4kttmwcjsp,0,115880,0
stride106gvnnet704z6redzwfd2ufq0mqzaj635yeyu5,579999,0,0
stride106h5juhmegsnr4sr5ukpg23ha3z7m4z6gtht75,0,205904,1009606
stride106lulqsh2xyvx3fqwrz2qlyft95vdv3rlv0m63,0,0,2089318
stride106mshf5nce6uzs4j0eurnsycs4jje5ntvahhpq,0,982578,0
stride106mzn687t60uj0n4z4w24qjsk4v2xtcemfrpf6,0,0,104767
stride106pjuzhqqjv8euzumepsjynaatd804qzxxna0p,0,307455,0
stride106rfmtx9khu9rlu3yvrallmj58yczhtge2r66e,0,912318,122709
stride106rn8adr85ukxd3n9496dxfqachz8nrxc6puay,14479999,0,0
stride106s6kqwfkahznl6erh7g4tk63v40f3pp4pw4kc,0,216993,528758
stride106tg024jy6m2csyvt2hy42rxx7e8mg0na22nke,0,286415,0
stride106uqtknerk5sal8e5c7v3sya458jpcj482hrgk,0,180101,0
stride106v0dgp92mwgerjph7aw84wwkutzuq4zcjxpcm,0,12709362,168302
stride106wjt289dn35snxwqy8ku39xfaj7l439cqpazq,0,100000,0
stride106xgqwyzrzg4jzdk9nvrdtfxdxf637vlm9aulq,4617699,0,0
stride106y0xa2x59e5qh0m5pyvftcy5mgrxa5cuqkcek,0,203168,0
stride106zmk7aspwlk2az85trfcrlcumgce27sa40qel,0,301338,1409292
stride1070h5whjne6yatsmllta245a7w4wvx2x79x0sy,59999999,0,902797
stride10725maxjuucs9h8w7q75hzph9hm98kydwydduk,0,984360,288055
stride1072ets8tcv5ayjpa5tzqkdfhnpzxypyy0vjfv4,0,221247,312722
stride1074hpcf3jf3ylxemz2yjjaxyxnpdyp7hput90y,9979999,0,0
stride1074qhzmhta4d6k9a2v804zt3yq536vtjjq7zqt,0,120586,480403
stride1075trxysp3xv5qwpcqndhn9957q7un5vl2pfvk,0,0,1901945
stride10772dpnsy5j7a3m8c8xex0wmjuxgvgkcj0xd28,0,0,3636081
stride10774eymrfgp4hfdnc50qp3afxsjgpv5xpu6uhh,0,464824,0
stride1077uxcufes02n6sn5s4nfzs7a26e3uh8hquvd9,0,2143144,0
stride107907hl4wwp47l9as78muknuqey3qz3z24trf8,0,2980164,5059218
stride1079hdtf50h53anwlrllwu604kh3rh0re2nhtqx,0,150155,385278
stride107avj38rzz8rrd8ul5ngs6vttzmwwsjn88jch0,0,4248968,0
stride107daqyxdc37kd8598a2x6amanqhm9dfrl00u40,0,0,124301
stride107hfplhktajgvp5490njgueg2whu5pe6l5qfc9,129999,0,0
stride107jxnh0ape78ltms4plcg5nwk9rne7lvgfsllp,0,2123412,514159
stride107m09gnrav7sfk8awf0fdnd5dn4fdlaulc6jp8,1263816,304905,158545
stride107mqw5xlq36waq8tv3r787dkcsqwl3ut7tkxl9,0,263481,0
stride107mtsc2c7suqpvsdmygy74tv05p9xvce4q2xxc,0,3970342,0
stride107n5mm03l4h6vzvxl5a8c0ly5gucekhtnxzqmj,0,0,781790
stride107r0ylq95jdantsxr2v376s3mu0ufh6gleyrsq,1000000,0,0
stride107tcy3hrjedrrnfenf365e3attf0gpgkvcw04z,70099999,0,396080
stride107tn5s5nsznzvczjf76qhsq2fwwe6j9ze0snsl,0,55505396,1375110
stride107v4aek5vla850yj592dj7y0u04kwqhr0f8kvf,0,7715202,0
stride107vcd0zwh2sckwmq9dwzvf4zrvuj7z25yu8l2r,0,0,101381
stride107vjqq2g0ksant3ga08s6am7j9pk7vwquzuqp3,0,215586,2712114
stride107vpepqtfsqvhdqq63w37fpueyjf7q5tdemjmw,5764799,0,0
stride107x66k8lzvplpf70qshrrzt8fely84chpydmwr,0,128676,303080
stride107ydngmwyw4dhmr3mlmst6sgq2kskjk5y0hjnx,0,120598,0
stride107z662fr9gy64l0nzkqddqqdgwxz60llccmcjm,6979999,0,0
stride107zcgm0j40kmz00k38wf38qw2f5ysp702msqhy,0,105241,0
stride1083k6hxpceu0nlp96efcm6jlakvtptw0q3h68n,0,1076884,0
stride1083svrca4t350mphfv9x45wq9asrs60ctyhq8d,0,103314,471525
stride1084kvlfud5uqmer5akg28d7r5a2kjqmg6uvhnm,0,161255,0
stride1085rxvq0rty4aucuv2e5p0ftnfzmsspv2nt264,0,231462,593483
stride1087aasukqdvujzdwqwz0a7hjkgfc2a93n6xzzt,1049999,0,0
stride1088d0ukrmmagdzuz3jfu6u0aplh078sdm6fewz,0,146134,0
stride1088lmvwyhz3vkmugglsna59w7gghza0mc9dvd7,0,0,835151
