address,amount,denom,usd_value
agoric1sfpcfsfnakmm4cw90tpmmvsdxc976jyajkqgfz,78.0,stuatom,1085.76
agoric1sj8xhm6kwg97h24ah45295zkda9nj9hjhsmm0d,4465.71707,stuosmo,7785.977711545
agoric1sz0eyytsuxsekx66ema9wytqzl64t36ne4y8fy,65.0,stuatom,904.8
agoric1u2fcgat0c4xa6238t2ugx6aax56x5x7zwymsuh,205.807504,stuosmo,358.825383224
agoric1u8q94sh9s2gv6fumpak83wyqpfzfd68rncvwwq,41.0,stuatom,570.72
agoric1u8s2x5954k6s94kawlyexweatv83dnnx84n94r,154.237957,stuatom,2146.99236144
agoric1u8y8cwzq2umyaglam593r9nu5l2cjtvnmftqx8,23.043273,stuatom,320.76236016
agoric1ux6ss8lky3ced7xas9yjg2y9ve69cx404pw77m,300.0,stuatom,4176.0
agoric1veyudckmmnwsf4kwst0x69a8wwvp7ffnrg6lzj,38.885867,stuatom,541.29126864
agoric1vws9cjkv0hdljfktl6w2pdv3happtuxtfg6dq7,16.838459,stutia,276.31911219
agoric1w9hncgj0v3muzxyds6j5f60pv3p6n3eugjv88k,4795.137568,stuosmo,8360.322349808
agoric1wd3cp5w5s7tj0ufsn6v8tdesxed58ferf9lfjl,44.000062,stuatom,612.48086304
agoric1wd3cp5w5s7tj0ufsn6v8tdesxed58ferf9lfjl,174.162949,stuosmo,303.6531015815
agoric1wd3cp5w5s7tj0ufsn6v8tdesxed58ferf9lfjl,35.617462,stutia,584.48255142
agoric1x22fak2s8a6m9gysx7y4d5794dgds0jy0qc2c2,23.692266,stuatom,329.79634272
agoric1x5nnaf4e3e7n69s2j89tyfcmfea4udtyna7kvc,386.517855,stutia,6342.75800055
agoric1xajcsnp334ch4n979nwvejrlzysrxvmzapl4wv,14.596923,stuatom,203.18916816
agoric1xwseskrmnxrvesmad0xtyfvl3lx7xzkkeu37xk,27.739374,stutia,455.20312734000004
agoric1y7587jtvup93ex5ksw9pe5z3gm4gxnc3zq0a5u,17.647499,stutia,289.59545859
agoric1yfdjghgfn8xtqysznf6pjs0t5vyqmlnumjhrk9,103.492302,stutia,1698.30867582
agoric1yrc0ya6vpsv0ypw48znhytrhhz65eu8rm6hl2s,47.907194,stuatom,666.86814048
agoric1zfuv7ldd4m5909mcvsj6wfrwjcqvzqmh2zezpj,103.0,stuosmo,179.5805
agoric1zrk48qrw6gffxtqrm0x5uq6p9n6y08dx348e3j,110.943916,stuatom,1544.33931072
agoric1zrk48qrw6gffxtqrm0x5uq6p9n6y08dx348e3j,403.63701,stutia,6623.683334099999
dym10250adw5phnlh05pjy4cnm0ctghn5vdrg8nyul,109.206166,stutia,1792.07318406
dym103dhahmh8u6wcvma9ed2qxacv5rplvzu5efpu0,64.377119,stutia,1056.42852279
dym103hqq6x54l6kphh0xvwkz6r4sw56dmhxwc58vp,6.286754,stutia,103.16563314
dym104a5ckn9crcq076wztgz8jj842kr9ku42nq4zy,6.22125,stutia,102.09071250000001
dym104se7skq7s4lm6x89gyh5myuy2legmrly0d8pk,162.697281,stutia,2669.86238121
dym105x0933pf3npmmx5an6l5372gjs0kqled4k9td,8.507174,stutia,139.60272533999998
dym107n3qlsf8tp8phc3x7hc6s5rnulwud8ejgvxt8,10.15247,stutia,166.6020327
dym107up46tscrn7wat6thchsu5al6p3640se02jwh,120.815824,stutia,1982.5876718400002
dym109am0tnt2q5awl5exf7tkhn68qzul4eluxnmrw,629.98,stadym,4322.229782
dym10axc2w820nlvaszw7dx6739cgtnee98t8rg2xw,94.299485,stutia,1547.45454885
dym10axc2w820nlvaszw7dx6739cgtnee98t8rg2xw,23.124398,stutia,379.47137118
dym10c2603zuz3ucx4qnplp3xmzy6hz9setqdr89sn,58.038719,stutia,952.41537879
dym10cakl9n0xen0w7qnmwzd6dfpwd6f6fxcrwextc,14.711059,stutia,241.40847819
dym10cjpc97t93mvm70t3yz76u4avez9cpcwev797p,51.185249,stutia,839.9499360899999
dym10czt72vz4uyfxzjsqwytv0qzt3ekd3vgmjx740,118.348236,stutia,1942.09455276
dym10d273nf4u909fs5pefmcksj3j0pr27vecf96sj,31.469374,stutia,516.41242734
