address_on_stride,amount,denom,date
stride10vu9mfp3v8vl63zz62r8seqn9wjdm7va4zywxf,5229.981736,sttia,2024-02-29
stride10vv8ddknjfy3muhvdx4uad4tfpasgzmmgvxjd8,23078.890245,sttia,2024-02-29
stride10w40gq84ye6gf3jaexs775zf84f625z605fqaw,121.999852,sttia,2024-02-29
stride10wedlrq3xhf3n73e7k790wn9zrt2rteacr9p5u,429.526161,sttia,2024-02-29
stride10wp6hw37044e8pwdan22t9ze6fcwq3mqavqaup,101.451744,sttia,2024-02-29
stride10wrufay7ddf4jt7nljt4lzt0hx567fs8yxteg9,380.001441,sttia,2024-02-29
stride10wsavjm9m34h83rnu6ayqz3276wdjdd3ycjxwl,100.751733,sttia,2024-02-29
stride10x2jkt4a6ykzurvq9j004jmzhggpjmupstknp8,101.179999,sttia,2024-02-29
stride10xmtnhz8d2dy3ec2d9fyz0wsvsxuh5k3fderme,189.028497,sttia,2024-02-29
stride10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rdjy4am,132.914913,sttia,2024-02-29
stride10xz349709ucxul6zez3ur6u2yamunvn5h2ds9j,189.681289,sttia,2024-02-29
stride10y7m8mf4sfspnq29y5l0tefwjkshesszy3zrel,200.328346,sttia,2024-02-29
stride10yl6s2j7jwxq9jlw0el5qfua5njcg6g9ulec3j,101.954415,sttia,2024-02-29
stride10ylwrajltnwt6dvrtuxfs0j66e38lgx5az0erm,176.133043,sttia,2024-02-29
stride1205em4ctd0406szat3n9whjj0dqcetwq4zj8zx,275.294828,sttia,2024-02-29
stride12088f4cr8lxrlyqmgynt68mj57ejgg58nvzdlq,309.992129,sttia,2024-02-29
stride120ax55fxagpwgn65thzzszm54q003u5qerukjx,1721.693107,sttia,2024-02-29
stride120lndvnt5cl7qxf5q2c9d6qxaxxy4xtk8hql4g,400.0,sttia,2024-02-29
stride122dxl9548w9xwc03se3f5a5xe50z889elprg0e,322.748073,sttia,2024-02-29
stride122jmaspa356w869m39sw6a6tpu6m796glz9hu3,164.25149,sttia,2024-02-29
stride122xmepavjt5zmc9avjm4n005rcty8raxqyljx4,214.148899,sttia,2024-02-29
stride1237nfc5tyfwcldcgex2ljw6ddvnja7dya77jhv,138.91989,sttia,2024-02-29
stride1245ydegvlzp0rr3q5a0ejwyr0e2zaejtrj95pe,164.775465,sttia,2024-02-29
stride1248x5wmj2q8e2v65z6gq29hfc9n0wnnqwpqwhr,124.418677,sttia,2024-02-29
stride124pndh8c70n0794ws82sh5tk0yyjr7y8a0mz03,475.979425,sttia,2024-02-29
stride124zzsms4afp3749khxecqpfv8vpz9fwthjg2g2,157.881155,sttia,2024-02-29
stride125kaqk58z4zsg7qzeka04enzhflhc5ftlh5jng,383.272568,sttia,2024-02-29
stride125kzhpkaw7ndnqesm0yqdlwm5jn97j0ep7yax5,559.886498,sttia,2024-02-29
stride125vs7tvzekcggjlfg96d0u2y5k5v8prurv9lkt,100.979999,sttia,2024-02-29
stride1262vlga0097wjlwvuna9sw7xuf6339t0772ard,500.0,sttia,2024-02-29
stride126hhenhx0qtd3qjuycf4xd8lh4rj5hr3djw43w,353.33533,sttia,2024-02-29
stride126j4q0gk7luqhrtdycl00dfzw8mhyg5e7zvjf9,103.188502,sttia,2024-02-29
stride12760ffkur0m6t8ytt4y3ta3a7afzc7sprh5gs0,180.0,sttia,2024-02-29
stride127wkcqhmj5p0nnx29qw2rc4qau0qh2pn057xw6,298.313006,sttia,2024-02-29
stride12845qa79cwlvf3jdcnfq2jy2jfmzslcg5exau6,497.116143,sttia,2024-02-29
stride128h6rn4v64g80p436y0fn4m53svhhvenxp8kkp,726.127193,sttia,2024-02-29
stride128shzuyl2lmwl42ec0029d7cffela6eqgja25s,616.481523,sttia,2024-02-29
stride128uswwypq2jxecnjcu9hetkam2eemtx2lnlmaf,200.0,sttia,2024-02-29
stride1290wymvck8gmwm2yvase906u3z4xruns2gf0ce,200.0,sttia,2024-02-29
stride129ktdmsfa8e4qftkncxz8dt4vqqlnz54u5rr7y,101.112249,sttia,2024-02-29
stride129rvtv5tmpp52ged67c8lmcqxlzh9lnv208js5,102.577892,sttia,2024-02-29
stride12a7t90qgwvexglqczv4389r4tusk6jajma7gmr,119.736637,sttia,2024-02-29
stride12ahwt0a7za4w4dj7d8xz9v52e5w6df8n4lhn5f,182.708329,sttia,2024-02-29
stride12azs8cykjv39skj0ljdsxk78jat928l0wv66qt,125.015945,sttia,2024-02-29
stride12c62xdfcjuegplk50fxkkza7pguc6yscdwcx6h,355.422818,sttia,2024-02-29
stride12c86nxpnah8e0n0qw63ayg3cepym7thuvcsfh7,236.616864,sttia,2024-02-29
stride12d4pcv8fmmpa9ju50k5thcjegjvgawr356zdyt,107.98,sttia,2024-02-29
stride12d9yccq4zknxg83h4pcc44ysgg02ja460e3nxh,230.138008,sttia,2024-02-29
stride12dakwyu73lvrnv8s2ax8hxtssp0d84hh3j6c7u,451.748848,sttia,2024-02-29
stride12el8k6fz3n80mv2czz6apdxplsnpxznarmry6t,311.475458,sttia,2024-02-29
stride12erpmx4wv502m3e3uhxm5zqflusgggg84ar77t,104.240559,sttia,2024-02-29
stride12eylece8skte4u4zr8lthepny9x7lp6yhm6hf2,400.0,sttia,2024-02-29
stride12f07j6cnunmj85c3l3m4mgp9n9xuxhu0sh7gls,721.572509,sttia,2024-02-29
stride12f4e5d9gmy6pgm55xedzhr8j4etrw9kn4wxymn,556.699681,sttia,2024-02-29
stride12fx43uv8rsg3xxfzks84mezd0vxy5kqw4ha6xr,100.2,sttia,2024-02-29
stride12fyvw87f386fdu9zvrw94m4f3qre02vfcnzfcw,1499.38869,sttia,2024-02-29
stride12g7e2n8xufxuc3c45j0an46t09mmqffdvh47mg,211.866397,sttia,2024-02-29
stride12gasm3vr4f2jpeul4d49kmv424sxjznwntgqsp,139.189786,sttia,2024-02-29
stride12ggr8zunysyyfh7ezlhpnxyul6fajethukcv28,338.216596,sttia,2024-02-29
stride12gkudcv6pmrzk3ms2ztn7h0uul9hfx04ngxld8,300.76775,sttia,2024-02-29
stride12gky6yzjd5mds2g8ft4ps6c9v3xhc6scu663fa,228.496973,sttia,2024-02-29
stride12gn3u0hp7v5walv2jrjt4g9q468mfw0lx4nktu,119.736457,sttia,2024-02-29
stride12gssy4dctydys0caxfg5d7kscaxl20nptetl5p,144.979999,sttia,2024-02-29
stride12guk0p46kqahh0hry722zulgaxsl7mjk432mkh,184.368535,sttia,2024-02-29
stride12h3f4r8yu748aw47yyknkaq3g4zdjhczd4m00c,484.016814,sttia,2024-02-29
stride12h3prla9eedcqex0xz522la2q49yslg8kr3sqn,114.387943,sttia,2024-02-29
stride12hq3pysmqmnh7j7kkwg375uw8p6gg37zq34wy6,163.246881,sttia,2024-02-29
stride12httffcqya7uu76n7rc3g9zxth6kd3385730d8,100.751497,sttia,2024-02-29
stride12hwl7cl2rpva035kcmzxpf752t0wqgye4p4xeg,119.7365,sttia,2024-02-29
stride12j56a8qv6pq5zy80lcgqyv6ydmx9rdqeu8cl0t,129.999999,sttia,2024-02-29
stride12j5pe3p4tnrcd4k6fzwgfdrfaq43uwca7vwr0x,204.064044,sttia,2024-02-29
stride12jez8wtg8p4twth2mdjmfeavy8muj7ayjmsm66,199.778562,sttia,2024-02-29
stride12jmhf8dqn6nqa5hxjen6595gwnxu2qkjgkkmsr,100.751763,sttia,2024-02-29
stride12jyq6emxuw3pp38uexl4nm9ss6uxf93kyjmull,3366.74877,sttia,2024-02-29
stride12kkj6uuh27me4k3xhum4tn4q2h4mkalqjk5chq,1014.575538,sttia,2024-02-29
stride12knulcwa7n3ndcp6uj3tf8a953azpf7ekz297u,266.575615,sttia,2024-02-29
stride12l53gg7zqyyvtgu9k6meny5fwvue8uww63p68s,100.7,sttia,2024-02-29
stride12lm6pwzlxf32l9m0wjqel5lu0s6skul8cj4k3z,159.729598,sttia,2024-02-29
stride12lq6eywy7k2arwrskhksg3wynmw6ze3s9ac8vz,156.05108,sttia,2024-02-29
stride12ltnaeple9607sa0t864x0raejam6n2j2n5f5g,531.897416,sttia,2024-02-29
stride12lzvcacrthkmx33dkxfce9pffnuazz5elqlmsz,199.175595,sttia,2024-02-29
stride12m4ffnzhd4rvs3w42kzdw0r2xtp9vmh7x4rdat,101.959998,sttia,2024-02-29
stride12mdgmhn5c8mglgxr9f44cy59g5hc8t4gply55k,118.957609,sttia,2024-02-29
stride12metcaa6ktshjvzd74460dapxqw09sfcf0y5yt,149.979999,sttia,2024-02-29
stride12mk7c5c8xmlzpz84rw4k9exta3zyajf9qkfrzu,100.751802,sttia,2024-02-29
stride12n74xm8c9qdqg99l3qpxagc9s56080dxpv93ej,214.142545,sttia,2024-02-29
stride12nnjkmawls4rq9rj6msznth78y9deu7ssz2s0y,100.11805,sttia,2024-02-29
stride12p3x56np6gjhl3ke4nyqql7aa4d2d0vajknhz2,100.479999,sttia,2024-02-29
stride12pd6h5xd5gputhctkdxy9zatlpwuej0l4du32d,151.7874,sttia,2024-02-29
stride12pqwf5k4hvqwaxx6h7ewzu77m9y3p9t6e8f2ql,122.743619,sttia,2024-02-29
stride12prede9vywyv0c2dm886fvdn8xuuvqjhwn8qe2,127.989473,sttia,2024-02-29
stride12pz4lp6f29y9p0vqel5kaz5c3xsle5qg87um3z,335.091145,sttia,2024-02-29
stride12pzvxzvpxevavkacd200g00zqndruyzdh7tzjy,213.668836,sttia,2024-02-29
stride12q6dncuj7vhfdm5fyvyukg7gwp7j26c5s050cw,701.0363,sttia,2024-02-29
stride12rege0n9rdfhg83lp7rn60ws9ezjfzplnyy2u0,155.238088,sttia,2024-02-29
stride12rfkkck0paknvqmzlzk044faav9txg6r6qvk99,119.736563,sttia,2024-02-29
stride12rpl3ga8mpf596tmhxju2de2kvs4magvh3amlv,100.500319,sttia,2024-02-29
stride12s0uzdpupdecl7uuruqak7wk8hzykc9j8n3qf8,174.953459,sttia,2024-02-29
stride12s43gc29wtgvelnwqacc0rnek4x3rhgs9fl86h,101.006845,sttia,2024-02-29
stride12snrgkq5560rzug9gp6yfkq0andg3a370vmrxw,172.138007,sttia,2024-02-29
stride12spcwcnc7hupnngkx49dxhf5ljn2vt3hqvp45e,142.225352,sttia,2024-02-29
stride12t3szfpfpp3rw3nr7fqmq4wkl5wp5msxzrsnc9,584.194258,sttia,2024-02-29
stride12t4jujfgk5ext2f7p58un00krz2y7dykf7gt5z,267.954379,sttia,2024-02-29
stride12t7c2p7kp9g28jvtt2wly7kgl5khvzdvy87duv,167.34289,sttia,2024-02-29
stride12u8855zap7pty84z7rmgv52565ys449ujs03pt,100.399823,sttia,2024-02-29
stride12ulgcca42uq2n9p9ewnclu3mq3zm0cccutxqau,104.874254,sttia,2024-02-29
stride12w9xgmskfqy9uzyuulynye9h66nzs26w4gznf7,103.991253,sttia,2024-02-29
stride12whsjepvlvjjle7aq4cn59720cw06a4yfdznpw,291.964009,sttia,2024-02-29
stride12wjznavtz0yew3q8uwlj40wq5c2m4wyqves9t0,116.96407,sttia,2024-02-29
stride12wrytpuqzrp2gp0qtcad9q2033ft7q0dq0qcvy,312.544274,sttia,2024-02-29
stride12wtm84yh5t0jmmunvscgj6vl2rs73pau40me8z,133.516395,sttia,2024-02-29
stride12x0ltk83qnc4eqqmfah8rmxtr75a0qnm40yule,100.1,sttia,2024-02-29
stride12xf5a8h03sr0t3kmvswvg90690d7kqplpmfk8z,107.149805,sttia,2024-02-29
stride12xhwaxjafgpx4c32x8xkmjjggq4q2mqygk3d3p,100.751641,sttia,2024-02-29
stride12xju7yhwd3la5k7du75gnd32jet4qke69wlsr9,199.959998,sttia,2024-02-29
stride12xl6ygplz7mxhry849tkyvwehn98vaauq5gn0l,258.77335,sttia,2024-02-29
stride12xs8lyrzwa5xk2rwhk9cf4h6nayj5na3xu5h3n,301.0,sttia,2024-02-29
stride12xzcm0zpcunx4e3uths9jcqfhn6n56nscpp5zg,114.899861,sttia,2024-02-29
stride12y6reu85m88st7mnt0t8v5w4s5652054c7vpyt,253.513738,sttia,2024-02-29
stride12yzl2vmsageyplkpxswdtvc9js0kjeaa6uuqwy,119.282979,sttia,2024-02-29
stride12z9k00k7dje9vnpfkkqsr0e7fy795dqjdzup3v,1843.43837,sttia,2024-02-29
stride12zdtx7k9pwz63ek34y49kcvps0000kuesuuvty,196.026488,sttia,2024-02-29
stride1303wh7ztd4grr8p9fcrq0f973j977veqf2t8x5,1469.714529,sttia,2024-02-29
stride130mf4stjgyea0fcxdymnv8znxc6kesaxnxm3pz,100.751497,sttia,2024-02-29
stride130p6plev7q9tgsn8lew8egfkhapggqk0n0kfuw,100.304478,sttia,2024-02-29
stride130rdsq79p6kx94jmfv32vfl4hqt6u8s89pkarj,132.199998,sttia,2024-02-29
stride1324ktc092yn7xj09nwvltw62evh5dxq5s4rp36,124.506869,sttia,2024-02-29
stride1327rnq5r0re3s0u8xkavf8xv8ax9mdsxyfpf59,1173.305029,sttia,2024-02-29
stride132feawhgkvtza3hhu4yltppexvqjr3kgdk3jpw,500.0,sttia,2024-02-29
stride132qy39ml23t4zr25zud6m3djqn3qd4lxhlkeah,104.939871,sttia,2024-02-29
stride1337ppcplr90pykhcdkwsa22y36ud5ctn9dgaxc,182.12544,sttia,2024-02-29
stride133ct37uc2gr567dz5km5yke680hhackz68utz4,100.751497,sttia,2024-02-29
stride133u6hldmpt5rtew3tvrkg0gpqn8wwv0jeda3ju,150.0,sttia,2024-02-29
stride133vnj6e3gy5hjdff63fxfwu0gyusl55q7fgk8h,150.001661,sttia,2024-02-29
stride134cujmqwqd4dl6qs8w2022fmj0gawkwg4xrcma,104.682478,sttia,2024-02-29
stride134ngfylm75kdf2z5v8yj702q3wxw9x8mh2w4g4,123.979999,sttia,2024-02-29
stride134uqfu9j8mrvur2hkeyutckz4x48eh44yz200x,119.736563,sttia,2024-02-29
stride1354slawpwahut3n884flkr3awdv3lrs0rsgs0j,187.77201,sttia,2024-02-29
stride1358hr66g7rdnrtt9q4emuhcwgkjq6dzhastm0g,101.175857,sttia,2024-02-29
stride135swafkdlu4jyyct869zs0dvkpk8sts88ljzwt,100.751681,sttia,2024-02-29
stride1368aspfjjdxsyrxk6jn74jmefuzvlxnt6sngk0,802.318573,sttia,2024-02-29
stride136e6w9uxfy7wd4ysh9tnk9x0x3g4lypdkam3qs,100.1,sttia,2024-02-29
stride136g84qql0yhhcp2e4th5rz4enu5r4zl4lra7z3,499.321641,sttia,2024-02-29
stride136qevjv3a6sdgvjfxp8nqz9f3ekx7gk2ezwlx3,135.948648,sttia,2024-02-29
stride136w44x5dvy2u4prfqzux4mezhnp2s05pr33kzy,139.153972,sttia,2024-02-29
stride136zme789kdlg9f4xl59979r8hvztdr3vqa56my,601.903215,sttia,2024-02-29
stride1370pkx6jz2rx2muzsx5qa5v9rfjqhvp7t0h0ln,191.984612,sttia,2024-02-29
stride137cm72w5fchj6khvfftzt7544k8hd75dswckm8,199.711109,sttia,2024-02-29
stride138897rghcgukk8vumm9u2z7q950mwksax0eehr,2997.186306,sttia,2024-02-29
stride138eefdy5p0vfc4yf5pqgvckmglc6vx7s3wq0xy,103.679788,sttia,2024-02-29
stride138qrr9ep7mugxdv362wf0rlsdnmte3jr44uj8z,358.119226,sttia,2024-02-29
stride138rx6qvg5g0tnwykreamy9vszmlls5ykemn8fc,701.000003,sttia,2024-02-29
stride138sjrjw94dgrwyq88qp342fsxm393t6a2wmthq,292.670249,sttia,2024-02-29
stride1398pykjcxtadg20patzwxwjwurxh5nlmp5tjek,117.671686,sttia,2024-02-29
stride13a3jc2nz9h5z5x5zd006eaerfptjlw0ru0nrtw,134.03462,sttia,2024-02-29
stride13c3n3p9pjarez0yt9ld54ylcljdetngrucs5kn,269.979674,sttia,2024-02-29
stride13c5g6h0f3q96sdd87890gzllgfcnafn00jv6e9,119.736743,sttia,2024-02-29
stride13cdlev3gxtwwzdzuyltq86004rh0hvqxprq3ej,398.705785,sttia,2024-02-29
stride13d2f2qrg6959e7hsxqly79jds7vcwa6z9esqwr,1083.649789,sttia,2024-02-29
stride13dex3ntza5sx5qd5p6gpvx2gz7pndldev5mc75,15926.024132,sttia,2024-02-29
stride13dqdy9yvatd97l3fs87zxxj0jmr94h4w2nmazg,351.423252,sttia,2024-02-29
stride13edanpwns5t6kgs7n37usuuucjeq4sv8fvlefv,615.969364,sttia,2024-02-29
stride13f38gxkjldakc64ttpf5sa0x87eaj7knlpvxfm,799.831975,sttia,2024-02-29
stride13fmynf7lartwxfx4c3cv3afe07qlckzyt6mxul,470.939438,sttia,2024-02-29
stride13fuavrk9q6qaa7a7n4c4nx69yl5qvmvw9ea2mj,100.000187,sttia,2024-02-29
stride13gccl8hlxpkwsp2gc57q3kr9jhr8hz6dltasc4,100.001633,sttia,2024-02-29
stride13gg022ntll7vn64ca35ccyq0sd5e3vv2xyu8pr,173.499999,sttia,2024-02-29
stride13hde4g4cfl7srq8m9xrw2jg7llg52ayj3gg7x4,140.794684,sttia,2024-02-29
stride13hr7fz4z2qjzc7r80k57664cykc7ulwwggzgdk,4664.048288,sttia,2024-02-29
stride13hrf4zuka03ew2064gmmsa9qvxcgm2nszvm6zf,1403.908382,sttia,2024-02-29
stride13jc9qy3dvuual7y0fedd0dywwm4pz2642qt946,182.107957,sttia,2024-02-29
stride13jy5elpt8gkexurkhvgjx929myqzxa808zzzk3,160.143815,sttia,2024-02-29
stride13k7pqxeg8ad7wtvshcaausgj0h245hxaul0umt,500.172605,sttia,2024-02-29
stride13k8zeyawaqrxq9qk8he36lz9xavywang4hu3yn,101.074464,sttia,2024-02-29
stride13lgc44dejc6sltynvhcq6d4yq9uq9fwpsh80ta,627.35367,sttia,2024-02-29
stride13lrdpmrlpqugu2lt62q7hj84m5yvcd223kehuy,238.966081,sttia,2024-02-29
stride13ly947sp47qks3nfp9a3kvy0jp6gt9kxeudfpp,371.757116,sttia,2024-02-29
stride13mmjxwrgsx88hhyg74898m94af6ksv3hhwjxxl,164.492331,sttia,2024-02-29
stride13mv0t2khwt7v7uvc9n6rgpu2ms0pmdrh0al9je,105.330428,sttia,2024-02-29
stride13mv6awa7uegnat6mv37fladtkxh3h26qncdy57,246.999999,sttia,2024-02-29
stride13n5yz8ecyl25c3p4frfmd8vwx46w70qr8hyg7y,100.328129,sttia,2024-02-29
stride13npawfq07l2kl7r6wrc28zyr405ej22wc9yate,113.778002,sttia,2024-02-29
stride13pwdrxdy5w56q2d8vnf8e9lfz69ghda74yjs4j,132.711945,sttia,2024-02-29
stride13qa4g8xc3t36v4lztkvhkw9mvpql4avp0jvt50,119.736532,sttia,2024-02-29
stride13rg8x2hdf8rmwr7stufrfrcufgjes6335lu62c,101.0,sttia,2024-02-29
stride13rzr72dmr05t0nmmzkr83wuwnu37m0mmnauqs7,100.0,sttia,2024-02-29
stride13s2cn3wk5sk26dvx95qhmlw4u5xmqmy9karg6j,104.929882,sttia,2024-02-29
stride13s2pw5k7hq93yq74vn4jp87gvr93agm9qez7f8,125.409695,sttia,2024-02-29
stride13s644z4qmklj7edhyn0j53cxkckc7f83c3llqz,766.885858,sttia,2024-02-29
stride13sj7q26k96n24ydx9wp59y7yl2av06da9xaygz,794.459799,sttia,2024-02-29
stride13sqvgt4fc3ys6l7v59zxxm4d9hezmlwzfnhhsj,142.682479,sttia,2024-02-29
stride13tgenylau3gkutele30kkex55akgj48m33ck28,326.131672,sttia,2024-02-29
stride13tmhwxp8wc8kgsvux383ee9pcwe626vhnr7flm,134.706039,sttia,2024-02-29
