,stutia,sttia,strd
stride12udvh3z2xdfc8djrvy0mxk0humdnt4cq77jjpg,2460000,2.46,1.1843320413677838
stride12uk22nzee0hgahzttujcdce78ax627asy9c5lw,8000000,8.0,3.851486313391167
stride12uwj2p82k97ksvs6dcllktxkr68zsm25vy0m0u,702570,0.70257,0.33824234239990403
stride12vg94a4eyef5wfcwp0a7e7g6yg7e69g6af870f,14595140,14.59514,7.026622744003495
stride12wemrt83nk7n5l57awfue5utk0rejxqn5fs8wp,3980000,3.98,1.9161144409121056
stride12x4lu5ma6cuqzqys48fmm2fq5ttpzcr83hd9zc,21894000,21.894,10.540555168173276
stride12x83csf7kpr3emumrn6kw3ukavqaphxkhc4dz6,48806000,48.806,23.49695512642116
stride12y6reu85m88st7mnt0t8v5w4s5652054c7vpyt,89893000,89.893,43.277707396209024
stride12yn7eahgru80hgvyvrezg94qlgseun8jryf0qv,6591000,6.591,3.1731432864451476
stride12z5p547fu3k6n3jcwv0u8znrqrnjph0khxpphj,6500000,6.5,3.1293326296303228
stride12z9k00k7dje9vnpfkkqsr0e7fy795dqjdzup3v,1832217350,1832.21735,882.0950058353542
stride130jnqfxmhhdp7ec5f4tq8xanycljfm6nfn89na,5980000,5.98,2.8789860192598975
stride130p6plev7q9tgsn8lew8egfkhapggqk0n0kfuw,100000000,100.0,48.14357891738959
stride1322d4jeqlu4mmzs0vgfdqfaej55pxy4q529k62,15080000,15.08,7.26005170074235
stride132qyd8trhdku0v4k88ykezskxsxsylz4tdzaac,6280000,6.28,3.023416756012066
stride133df0rz42d49jl3hzh6gtv6gf42x8vqac7wz70,1000000,1.0,0.4814357891738959
stride133esr0vl649yaklr9y3g690nupk4drpp7mwgly,1300000,1.3,0.6258665259260646
stride135rlffgd7j2l2y49p9s7ml9lq0r0xpvyp6tewh,5380000,5.38,2.5901245457555597
stride137c2fmkmkvty62erq6zeeecxc3rjtjc64udwt2,12000000,12.0,5.77722947008675
stride138q960f52ly55dz0gkmg8vetg9xtmxsymax3r4,1480000,1.48,0.7125249679773659
stride138rx6qvg5g0tnwykreamy9vszmlls5ykemn8fc,505000000,505.0,243.1250735328174
stride138wpeypj8k2mr7qx3k0ckeux7strlpn34f2055,990260,0.99026,0.47674660458734214
stride1395atr0guxax00025tqp30425udsshpsqv0h9u,130000,0.13,0.06258665259260647
stride13993z7fu5rhxd2gvpvn4g0ncuhc77llap7esn5,3970690,3.97069,1.9116322737148965
stride139ajm3wwy0zkkr4p3rsy4cc845ywfrqls0c52k,1480000,1.48,0.7125249679773659
stride13cuk2mkcht6lrlj5e3nkva5xcw2eply7hadc3k,9657320,9.65732,4.649379475504848
stride13dyw9arrwxxgy495h3kk0czd870dkzqxm6td0t,1430000,1.43,0.688453178518671
stride13e5w8kn6vsfhwjvuchw3jg2jr2tecqqt3swh7h,7780000,7.78,3.7455704397729095
stride13efzy5u372x8aa4wq48wk27j52099rqyf7un20,6480000,6.48,3.119703913846845
stride13evp5ueumezkkjxpqvjvgshvy958384tqtsjhj,350000,0.35,0.16850252621086353
stride13gd97ke6erejqk2p050xkpc63jhtujre8z04kl,1000000,1.0,0.4814357891738959
stride13j5v288amfeeyh9njnzxysl86wy673v4fa2lgs,8809180,8.80918,4.2410545252749
stride13k4p55ls5m6srku3z24njhcqj550hjpkext90e,2600000,2.6,1.2517330518521292
stride13kkz3pw6zn46tkj9cff3ytvlpqrey9ufw5qta7,986824,0.986824,0.4750923912157406
stride13kmhegjact6zmq9yrkngyayakce7qpxw9ap0gv,319260,0.31926,0.153703190051658
stride13nyjmpz40lh9qtn0wq8r03s32jeva33a8phxsj,1280000,1.28,0.6162378101425867
stride13qpu5wf5uafq3gjujtadufk2q267kx9vfzv4eq,600000,0.6,0.2888614735043375
stride13rf8798tv7rymdz5yqr3lddsxra9zee7zu50tj,12980000,12.98,6.249036543477168
